City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Lebu,CL,2020-08-27 18:16:34,-37.62,-73.65,284.39,79,100,4.76,light rain,0.15,0
1,Ushuaia,AR,2020-08-27 18:16:35,-54.8,-68.3,278.15,38,40,10.3,shower rain,0.0,0
2,Scarborough,GB,2020-08-27 18:16:35,54.28,-0.4,286.48,87,99,0.45,light rain,0.48,0
3,Songea,TZ,2020-08-27 18:16:36,-10.68,35.65,295.15,60,20,2.1,few clouds,0.0,0
4,Bluff,NZ,2020-08-27 18:16:37,-46.6,168.33,279.08,80,75,5.95,broken clouds,0.0,0
5,Saskylakh,RU,2020-08-27 18:16:37,71.92,114.08,284.18,68,2,1.75,clear sky,0.0,0
6,Kamariotissa,GR,2020-08-27 18:16:38,40.48,25.47,300.15,54,30,3.1,scattered clouds,0.0,0
7,Bolu,TR,2020-08-27 18:16:39,40.67,31.58,289.41,76,31,1.38,scattered clouds,0.0,0
8,Prince Rupert,CA,2020-08-27 18:16:39,54.32,-130.32,285.15,93,40,2.1,scattered clouds,0.0,0
9,Bambous Virieux,MU,2020-08-27 18:16:40,-20.34,57.76,295.15,83,75,5.7,shower rain,0.0,0
10,Krasnoselkup,RU,2020-08-27 18:16:41,65.7,82.47,285.53,91,46,3.17,light rain,0.29,0
11,Castro,BR,2020-08-27 18:16:41,-24.79,-50.01,297.01,35,0,1.31,clear sky,0.0,0
12,Brae,GB,2020-08-27 18:16:42,60.4,-1.35,285.15,76,75,3.1,broken clouds,0.0,0
13,Upernavik,GL,2020-08-27 18:16:43,72.79,-56.15,279.93,67,99,4.03,overcast clouds,0.0,0
14,Barcelos,PT,2020-08-27 18:16:44,41.54,-8.62,297.59,94,20,5.7,few clouds,0.0,0
15,Hermanus,ZA,2020-08-27 18:16:45,-34.42,19.23,287.04,89,43,0.89,light rain,0.34,0
16,Punta Arenas,CL,2020-08-27 18:16:46,-53.15,-70.92,277.04,64,40,10.3,scattered clouds,0.0,0
17,Huacho,PE,2020-08-27 18:16:46,-11.11,-77.61,293.09,66,51,4.14,broken clouds,0.0,0
18,Lata,PT,2020-08-27 18:16:47,40.16,-8.33,298.15,75,0,2.24,clear sky,0.0,0
19,Grindavik,IS,2020-08-27 18:16:48,63.84,-22.43,283.15,81,75,6.2,shower rain,0.0,0
