index,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Kamariotissa,GR,300.15,scattered clouds,40.48,25.47,Niki Beach
11,Castro,BR,297.01,clear sky,-24.79,-50.01,CHACARA BAILLY
14,Barcelos,PT,297.59,few clouds,41.54,-8.62,Hotel Do Terço
18,Lata,PT,298.15,clear sky,40.16,-8.33,Casa Maquia
25,Tamandare,BR,298.81,scattered clouds,-8.76,-35.1,Pousada 100 Passos
27,Nouadhibou,MR,303.15,sand,20.93,-17.03,El Medina
28,Bengkulu,ID,297.49,clear sky,-3.8,102.27,Grage Hotel Bengkulu
33,San Policarpo,PH,299.79,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
38,Hit,IQ,304.8,clear sky,33.64,42.83,Aboody Alhachem
42,Korla,CN,297.67,overcast clouds,41.76,86.15,Gulisitan Hotel
49,Ponta Do Sol,PT,302.04,few clouds,32.67,-17.1,Hotel do Campo
50,Bethel,US,302.59,broken clouds,41.37,-73.41,Courtyard by Marriott Danbury
57,Hasaki,JP,300.15,shower rain,35.73,140.83,Inubosaki Kanko Hotel
58,Kapaa,US,298.71,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
66,San Patricio,MX,298.15,moderate rain,19.22,-104.7,Hotel Cabo Blanco
77,Ponta Delgada,PT,298.15,scattered clouds,37.73,-25.67,Vila Nova Hotel
79,Gafanha Da Encarnacao,PT,298.15,scattered clouds,40.62,-8.73,Hotel Barra
80,Cape Coast,GH,297.76,scattered clouds,5.11,-1.25,Samrit Hotel
81,Karratha,AU,297.25,clear sky,-20.74,116.85,ibis Styles Karratha
82,Miram Shah,PK,297.54,broken clouds,33.01,70.07,Bachelor Hostel
83,Shingu,JP,297.89,clear sky,33.73,135.98,Shingu UI Hotel
91,Dingle,PH,297.09,overcast clouds,11.0,122.67,Camp Pasica
93,Port Blair,IN,300.86,overcast clouds,11.67,92.75,Fortune Resort Bay Island
106,Jamestown,US,302.04,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
113,Butaritari,KI,300.93,broken clouds,3.07,172.79,Isles Sunset Lodge
114,Waingapu,ID,297.38,scattered clouds,-9.66,120.26,Pondok Wisata Elim
115,Canico,PT,302.04,few clouds,32.63,-16.85,Quinta Splendida Wellness & Botanical Garden
119,Yangjiang,CN,298.94,scattered clouds,21.85,111.97,HUALUXE Yangjiang City Center
123,Sturgeon Bay,US,299.15,overcast clouds,44.83,-87.38,AmericInn by Wyndham Sturgeon Bay
125,Vila Franca Do Campo,PT,298.15,scattered clouds,37.72,-25.43,Pestana Bahia Praia
126,Faanui,PF,298.29,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
128,Tari,NG,301.15,broken clouds,12.41,4.49,
130,Tuy Hoa,VN,300.29,overcast clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
131,Acarau,BR,302.11,broken clouds,-2.89,-40.12,castelo pizzaria
132,Kulhudhuffushi,MV,301.79,scattered clouds,6.62,73.07,Haajy Guest House 1
137,Kushima,JP,298.15,broken clouds,31.46,131.23,Hanaoka
138,Baherden,TM,298.97,clear sky,38.44,57.43,
140,Gizo,SB,301.13,overcast clouds,-8.1,156.84,Imagination Island
147,Santona,ES,297.15,overcast clouds,43.44,-3.46,Playamar
151,Naze,JP,301.15,light rain,28.37,129.48,奄美ポートタワーホテル
152,Marzuq,YE,302.88,few clouds,14.4,46.47,
153,Sao Filipe,CV,299.16,broken clouds,14.9,-24.5,Tortuga B&B
155,Hilo,US,297.59,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
156,Kihei,US,299.15,scattered clouds,20.79,-156.47,Maui Sunset
157,Cam Ranh,VN,303.15,scattered clouds,11.92,109.16,OYO 598 Peony Hotel
169,Pathein,MM,299.41,overcast clouds,16.78,94.73,Pathein Hotel
171,Praya,CV,302.15,broken clouds,14.92,-23.51,LT Aparthotel
178,Kotido,UG,297.47,broken clouds,2.98,34.13,Loware Joseph Mukasa's Residence
189,Rangkasbitung,ID,303.15,haze,-6.36,106.25,Hotel Bumi Katineung
190,Kapoeta,SS,300.87,scattered clouds,4.77,33.59,Eastgate Hotel
192,Port-Gentil,GA,299.15,broken clouds,-0.72,8.78,Fengshui Residence
208,Tabou,CI,298.14,overcast clouds,4.42,-7.35,hotêl doufoulougou
213,Eyl,SO,298.5,overcast clouds,7.98,49.82,Amiin Hotel
214,Arraial Do Cabo,BR,298.15,scattered clouds,-22.97,-42.03,Pousada Porto Praia
227,Porto Novo,BJ,299.15,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
229,Omboue,GA,297.51,broken clouds,-1.57,9.26,Hotel Olako
233,Tual,ID,299.68,overcast clouds,-5.67,132.75,Grand Vilia Hotel
242,Saint Anthony,US,302.15,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
247,Labuhan,ID,298.27,overcast clouds,-6.88,112.21,bador sepret
254,Kumano,JP,300.15,few clouds,34.34,132.59,ホテル コラソン
259,Makakilo City,US,301.15,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
260,Ribeira Grande,PT,298.15,scattered clouds,38.52,-28.7,Quinta da Meia Eira
261,Brewster,US,303.15,clear sky,41.4,-73.62,Heidi's Inn
262,Harper,LR,298.14,overcast clouds,4.38,-7.72,Screensaver
267,Sestri Levante,IT,298.71,scattered clouds,44.27,9.4,Grande Albergo
270,Kavaratti,IN,301.27,overcast clouds,10.57,72.64,Bismillah Hotel And Lodging
271,Longview,US,300.15,overcast clouds,32.5,-94.74,Homewood Suites by Hilton Longview
272,Touros,BR,301.15,scattered clouds,-5.2,-35.46,INN NEW HORIZON
276,Panama City,PA,304.26,few clouds,8.99,-79.52,Trump International Hotel & Tower Panama
