City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saldanha,ZA,2020-08-04 06:13:17,-33.01,17.94,53.6,81,82,8.05
1,Dolinsk,RU,2020-08-04 06:13:18,47.35,142.8,59.0,93,75,17.9
2,Punta Arenas,CL,2020-08-04 06:13:19,-53.15,-70.92,39.2,64,55,12.75
3,Saint-Joseph,RE,2020-08-04 06:13:20,-21.37,55.62,71.01,68,40,27.51
4,Charlestown,AU,2020-08-04 06:10:04,-32.95,151.67,73.0,36,16,3.0
5,Dikson,RU,2020-08-04 06:13:21,73.51,80.55,45.16,98,100,18.01
6,Mahebourg,MU,2020-08-04 06:09:31,-20.41,57.7,69.8,64,75,13.87
7,Yellowknife,CA,2020-08-04 06:13:21,62.46,-114.35,69.01,88,75,6.93
8,Sarangani,PH,2020-08-04 06:13:22,5.4,125.46,82.2,77,100,6.76
9,Placerville,US,2020-08-04 06:13:22,38.73,-120.8,72.0,40,1,5.82
10,New Norfolk,AU,2020-08-04 06:10:20,-42.78,147.06,42.01,88,82,8.01
11,Vaini,TO,2020-08-04 06:09:45,-21.2,-175.2,73.4,88,40,5.82
12,Albany,US,2020-08-04 06:13:24,42.6,-73.97,72.0,69,100,3.83
13,Njeru,UG,2020-08-04 06:13:24,0.42,33.17,70.92,63,93,2.71
14,Guerrero Negro,MX,2020-08-04 06:13:25,27.98,-114.06,70.27,80,0,9.37
15,Edd,ER,2020-08-04 06:13:25,13.93,41.69,85.3,63,100,5.93
16,Faanui,PF,2020-08-04 06:13:26,-16.48,-151.75,78.26,75,3,8.97
17,Urumqi,CN,2020-08-04 06:09:26,43.8,87.6,84.2,35,96,6.71
18,Georgetown,MY,2020-08-04 06:09:13,5.41,100.34,89.6,74,20,8.05
19,Kapaa,US,2020-08-04 06:13:27,22.08,-159.32,78.8,74,75,17.22
20,Wuwei,CN,2020-08-04 06:10:13,37.93,102.64,90.21,29,31,16.11
21,Cherskiy,RU,2020-08-04 06:09:12,68.75,161.3,47.46,72,100,8.97
22,Amuntai,ID,2020-08-04 06:13:28,-2.42,115.25,77.23,93,100,0.56
23,Saint-Philippe,RE,2020-08-04 06:13:29,-21.36,55.77,71.01,68,40,27.51
24,Busselton,AU,2020-08-04 06:13:29,-33.65,115.33,57.99,97,51,18.28
25,Rikitea,PF,2020-08-04 06:13:30,-23.12,-134.97,73.11,87,67,14.45
26,Vila Do Maio,CV,2020-08-04 06:13:30,15.13,-23.22,78.8,78,20,9.17
27,Cabo San Lucas,MX,2020-08-04 06:13:31,22.89,-109.91,86.0,58,5,17.22
28,Bandarbeyla,SO,2020-08-04 06:13:32,9.49,50.81,87.71,43,11,33.4
29,Hofn,IS,2020-08-04 06:13:33,64.25,-15.21,49.15,90,100,4.65
30,Upernavik,GL,2020-08-04 06:13:33,72.79,-56.15,41.67,85,100,11.95
31,Saquisili,EC,2020-08-04 06:13:34,-0.83,-78.67,43.0,87,81,7.99
32,Carnarvon,AU,2020-08-04 06:09:45,-24.87,113.63,62.6,100,75,18.34
33,Noumea,NC,2020-08-04 06:08:54,-22.28,166.46,71.6,56,90,6.93
34,Xining,CN,2020-08-04 06:10:17,36.62,101.77,75.99,52,96,4.81
35,Atuona,PF,2020-08-04 06:09:45,-9.8,-139.03,78.58,78,2,15.79
36,Arraial Do Cabo,BR,2020-08-04 06:13:36,-22.97,-42.03,68.32,71,12,7.92
37,Mount Isa,AU,2020-08-04 06:13:37,-20.73,139.5,86.0,12,0,5.82
38,Victoria,HK,2020-08-04 06:13:18,22.29,114.16,87.01,74,40,10.29
39,Yabrud,SY,2020-08-04 06:13:38,33.97,36.66,80.6,57,40,23.04
40,Qaanaaq,GL,2020-08-04 06:13:39,77.48,-69.36,25.09,93,9,1.97
41,Dhidhdhoo,MV,2020-08-04 06:09:21,6.88,73.1,82.76,78,100,19.75
42,Tocopilla,CL,2020-08-04 06:13:40,-22.09,-70.2,55.49,71,14,0.38
43,Olafsvik,IS,2020-08-04 06:08:59,64.89,-23.71,48.38,88,99,6.2
44,Mataura,NZ,2020-08-04 06:13:40,-46.19,168.86,49.57,73,89,2.44
45,Maragogi,BR,2020-08-04 06:13:41,-9.01,-35.22,71.91,83,2,12.84
46,Sinnamary,GF,2020-08-04 06:13:41,5.38,-52.95,77.65,82,31,6.51
47,Cape Town,ZA,2020-08-04 06:13:42,-33.93,18.42,53.01,81,75,5.82
48,Port Alfred,ZA,2020-08-04 06:13:42,-33.59,26.89,60.21,76,39,16.55
49,Kitahiroshima,JP,2020-08-04 06:13:43,42.98,141.57,82.99,4,100,5.99
50,Yambio,SS,2020-08-04 06:13:43,4.57,28.4,69.3,95,100,1.3
51,Bredasdorp,ZA,2020-08-04 06:13:44,-34.53,20.04,51.8,87,99,8.05
52,Nome,US,2020-08-04 06:13:44,64.5,-165.41,55.99,71,40,3.36
53,La Ronge,CA,2020-08-04 06:09:39,55.1,-105.28,69.8,64,20,9.17
54,Ballina,AU,2020-08-04 06:13:45,-28.87,153.57,73.0,46,75,10.29
55,Nagornskiy,RU,2020-08-04 06:13:45,58.77,57.55,57.99,90,100,1.99
56,Placido De Castro,BR,2020-08-04 06:13:46,-10.34,-67.19,70.75,56,3,1.07
