City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Port Alfred,ZA,2021-08-25 17:26:57,-33.5906,26.891,290.71,84,0,6.93,clear sky,0.0,0
1,Kapaa,US,2021-08-25 17:26:57,22.0752,-159.319,299.33,77,90,0.89,light rain,0.25,0
2,Mataura,NZ,2021-08-25 17:26:57,-46.1927,168.8643,278.97,92,99,1.57,light rain,0.22,0
3,Nampula,MZ,2021-08-25 17:26:58,-15.1165,39.2666,299.12,53,0,4.12,clear sky,0.0,0
4,Lebu,CL,2021-08-25 17:26:58,-37.6167,-73.65,283.89,84,99,5.76,overcast clouds,0.0,0
5,Biak,ID,2021-08-25 17:26:59,-0.9131,122.8766,296.17,88,100,2.65,overcast clouds,0.0,0
6,Yamada,JP,2021-08-25 17:26:59,39.4667,141.95,296.32,92,96,2.58,overcast clouds,0.0,0
7,Hermanus,ZA,2021-08-25 17:26:59,-34.4187,19.2345,287.54,80,0,5.09,clear sky,0.0,0
8,Diamantino,BR,2021-08-25 17:27:00,-14.4086,-56.4461,311.54,14,6,3.55,clear sky,0.0,0
9,Hobart,AU,2021-08-25 17:27:00,-42.8794,147.3294,280.07,86,40,1.34,scattered clouds,0.0,0
10,Faanui,PF,2021-08-25 17:27:00,-16.4833,-151.75,298.63,75,99,7.45,overcast clouds,0.0,0
11,Mar Del Plata,AR,2021-08-25 17:23:17,-38.0023,-57.5575,290.16,34,0,6.17,clear sky,0.0,0
12,Thinadhoo,MV,2021-08-25 17:27:01,0.5333,72.9333,301.19,75,35,5.47,scattered clouds,0.0,0
13,Vaini,TO,2021-08-25 17:27:02,-21.2,-175.2,292.24,72,40,4.12,scattered clouds,0.0,0
14,Port Macquarie,AU,2021-08-25 17:27:02,-31.4333,152.9167,282.13,67,5,2.83,clear sky,0.0,0
15,Luwuk,ID,2021-08-25 17:27:02,-0.9516,122.7875,296.8,91,100,2.21,overcast clouds,0.0,0
16,Sola,VU,2021-08-25 17:27:03,-13.8833,167.55,299.06,73,73,10.57,broken clouds,0.0,0
17,Ribeira Grande,PT,2021-08-25 17:27:03,38.5167,-28.7,296.37,60,40,2.57,scattered clouds,0.0,0
18,Puerto Ayora,EC,2021-08-25 17:27:04,-0.7393,-90.3518,298.13,80,100,6.26,overcast clouds,0.0,0
19,Saravena,CO,2021-08-25 17:27:04,6.9538,-71.8752,299.95,89,100,0.33,overcast clouds,0.0,0
20,Aklavik,CA,2021-08-25 17:27:05,68.2191,-135.0107,281.55,91,100,1.17,overcast clouds,0.0,0
21,Richards Bay,ZA,2021-08-25 17:27:05,-28.783,32.0377,292.38,71,0,5.71,clear sky,0.0,0
22,Arman,RU,2021-08-25 17:27:05,59.7,150.1667,285.03,98,100,1.94,overcast clouds,0.0,0
23,Saskylakh,RU,2021-08-25 17:27:06,71.9167,114.0833,282.49,97,100,5.06,light rain,0.42,0
24,Yuma,US,2021-08-25 17:27:06,32.7253,-114.6244,313.08,15,1,2.57,clear sky,0.0,0
25,Codrington,AU,2021-08-25 17:27:06,-38.2667,141.9667,282.65,67,100,5.87,overcast clouds,0.0,0
26,Kahta,TR,2021-08-25 17:27:07,37.7855,38.6237,302.8,18,0,1.57,clear sky,0.0,0
27,Olafsvik,IS,2021-08-25 17:27:07,64.8945,-23.7142,286.53,92,100,10.2,overcast clouds,0.0,0
28,Presidencia Roque Saenz Pena,AR,2021-08-25 17:27:08,-26.7852,-60.4388,286.69,88,100,4.0,overcast clouds,0.0,0
29,Cherskiy,RU,2021-08-25 17:27:08,68.75,161.3,279.1,91,89,2.55,overcast clouds,0.0,0
30,Sovetskiy,RU,2021-08-25 17:27:08,61.3614,63.5842,291.38,90,19,2.9,few clouds,0.0,0
31,Cap-Aux-Meules,CA,2021-08-25 17:27:09,47.3821,-61.8597,295.18,88,90,4.63,overcast clouds,0.0,0
32,Kloulklubed,PW,2021-08-25 17:27:09,7.0419,134.2556,297.43,72,100,1.64,heavy intensity rain,4.47,0
33,Karakol,KG,2021-08-25 17:27:10,42.4907,78.3936,288.05,49,35,1.13,scattered clouds,0.0,0
34,Punta Arenas,CL,2021-08-25 17:25:49,-53.15,-70.9167,278.21,70,75,7.72,broken clouds,0.0,0
35,Staraya Russa,RU,2021-08-25 17:27:10,57.9944,31.3608,286.58,75,100,2.31,overcast clouds,0.0,0
36,Butaritari,KI,2021-08-25 17:27:11,3.0707,172.7902,301.73,68,100,7.44,overcast clouds,0.0,0
37,New Norfolk,AU,2021-08-25 17:27:11,-42.7826,147.0587,279.87,82,100,0.89,overcast clouds,0.0,0
38,Mahebourg,MU,2021-08-25 17:27:11,-20.4081,57.7,294.31,68,40,1.54,light rain,0.13,0
39,Rikitea,PF,2021-08-25 17:27:12,-23.1203,-134.9692,294.64,66,4,3.48,clear sky,0.0,0
40,Albany,US,2021-08-25 17:22:17,42.6001,-73.9662,305.16,62,52,0.72,broken clouds,0.0,0
41,Esperance,AU,2021-08-25 17:27:13,-33.8667,121.9,286.06,45,83,8.88,light rain,0.14,0
42,Acarau,BR,2021-08-25 17:27:13,-2.8856,-40.12,304.46,55,62,9.25,broken clouds,0.0,0
43,Bayir,TR,2021-08-25 17:27:13,37.2687,28.2167,298.61,38,0,1.39,clear sky,0.0,0
44,Westport,US,2021-08-25 17:23:18,41.1415,-73.3579,307.01,61,1,0.45,clear sky,0.0,0
45,Kismayo,SO,2021-08-25 17:27:14,-0.3582,42.5454,297.73,81,61,7.59,broken clouds,0.0,0
46,Beyneu,KZ,2021-08-25 17:27:14,45.3167,55.2,301.05,39,21,1.71,few clouds,0.0,0
47,Mafinga,TZ,2021-08-25 17:27:15,-7.25,35.0667,297.08,42,0,5.08,clear sky,0.0,0
48,Busselton,AU,2021-08-25 17:27:15,-33.65,115.3333,285.98,83,35,3.75,scattered clouds,0.0,0
49,Luderitz,NA,2021-08-25 17:27:16,-26.6481,15.1594,285.85,88,6,0.71,clear sky,0.0,0
50,Chokurdakh,RU,2021-08-25 17:27:16,70.6333,147.9167,279.4,93,94,2.74,overcast clouds,0.0,0
51,Lata,PT,2021-08-25 17:27:16,40.1629,-8.3327,305.4,51,69,3.6,broken clouds,0.0,0
52,Mount Gambier,AU,2021-08-25 17:27:17,-37.8333,140.7667,281.1,76,90,2.57,overcast clouds,0.0,0
53,Padang,ID,2021-08-25 17:27:17,-0.9492,100.3543,298.13,85,74,1.38,broken clouds,0.0,0
54,Krokeai,GR,2021-08-25 17:27:18,36.8833,22.55,300.35,64,1,0.58,clear sky,0.0,0
55,Leh,IN,2021-08-25 17:27:18,34.1667,77.5833,294.12,22,1,2.33,clear sky,0.0,0
56,Margate,GB,2021-08-25 17:27:18,51.3813,1.3862,293.64,75,6,1.34,clear sky,0.0,0
57,Lukulu,ZM,2021-08-25 17:27:19,-14.3707,23.242,300.48,19,37,2.44,scattered clouds,0.0,0
58,Jamestown,US,2021-08-25 17:25:33,42.097,-79.2353,304.36,63,1,1.79,clear sky,0.0,0
59,Benguela,AO,2021-08-25 17:27:19,-12.5763,13.4055,295.61,71,11,3.62,few clouds,0.0,0
60,Caledon,ZA,2021-08-25 17:27:20,-34.23,19.4265,286.02,80,0,0.87,clear sky,0.0,0
61,Dikson,RU,2021-08-25 17:27:20,73.5069,80.5464,276.5,88,100,8.65,overcast clouds,0.0,0
62,Kropotkin,RU,2021-08-25 17:27:21,45.4375,40.5756,297.09,53,9,4.14,clear sky,0.0,0
63,Mapiripan,CO,2021-08-25 17:27:21,2.8892,-72.1256,305.02,57,87,1.45,overcast clouds,0.0,0
64,Cidreira,BR,2021-08-25 17:27:22,-30.1811,-50.2056,291.17,93,100,2.77,moderate rain,2.99,0
65,Huarmey,PE,2021-08-25 17:27:22,-10.0681,-78.1522,292.4,76,100,5.13,overcast clouds,0.0,0
66,De Aar,ZA,2021-08-25 17:27:22,-30.6497,24.0123,291.15,11,3,4.13,clear sky,0.0,0
67,Bondo,CD,2021-08-25 17:27:23,3.8146,23.6866,297.63,78,67,0.78,broken clouds,0.0,0
68,Hovd,MN,2021-08-25 17:27:23,48.0056,91.6419,287.93,49,3,2.47,clear sky,0.0,0
69,Khatanga,RU,2021-08-25 17:27:24,71.9667,102.5,277.58,93,100,7.98,light rain,0.77,0
70,Rio Brilhante,BR,2021-08-25 17:27:24,-21.8019,-54.5464,310.88,16,61,8.44,broken clouds,0.0,0
71,Hervey Bay,AU,2021-08-25 17:27:25,-25.2986,152.8535,283.17,62,59,4.46,broken clouds,0.0,0
72,Ushuaia,AR,2021-08-25 17:27:25,-54.8,-68.3,276.96,52,0,0.0,clear sky,0.0,0
73,Poum,NC,2021-08-25 17:27:26,-20.2333,164.0167,295.72,80,17,6.85,few clouds,0.0,0
74,Hasaki,JP,2021-08-25 17:26:56,35.7333,140.8333,298.37,88,99,1.48,overcast clouds,0.0,0
75,Cape Town,ZA,2021-08-25 17:27:26,-33.9258,18.4232,287.66,82,0,0.89,clear sky,0.0,0
76,Fairbanks,US,2021-08-25 17:25:01,64.8378,-147.7164,286.26,96,90,2.06,light rain,0.34,0
77,Mokhsogollokh,RU,2021-08-25 17:27:27,61.4681,128.9203,282.29,93,88,2.53,overcast clouds,0.0,0
78,Bethel,US,2021-08-25 17:27:27,41.3712,-73.414,306.04,57,1,2.06,clear sky,0.0,0
79,Atuona,PF,2021-08-25 17:27:28,-9.8,-139.0333,298.55,74,68,8.77,broken clouds,0.0,0
80,Alice Springs,AU,2021-08-25 17:27:28,-23.7,133.8833,275.9,41,0,0.0,clear sky,0.0,0
81,Pevek,RU,2021-08-25 17:27:29,69.7008,170.3133,274.69,97,100,8.0,overcast clouds,0.0,0
82,Curanilahue,CL,2021-08-25 17:27:29,-37.4667,-73.35,282.21,91,99,2.71,overcast clouds,0.0,0
83,Paragould,US,2021-08-25 17:25:04,36.0584,-90.4973,307.05,57,0,2.22,clear sky,0.0,0
84,Thompson,CA,2021-08-25 17:23:24,55.7435,-97.8558,289.24,41,40,2.06,scattered clouds,0.0,0
85,Kuusamo,FI,2021-08-25 17:27:30,65.9667,29.1833,280.17,70,75,2.06,broken clouds,0.0,0
86,Faya,SA,2021-08-25 17:27:30,18.3851,42.4509,296.21,42,91,2.85,overcast clouds,0.0,0
87,Denpasar,ID,2021-08-25 17:27:31,-8.65,115.2167,296.96,94,40,1.03,scattered clouds,0.0,0
88,Saint-Philippe,RE,2021-08-25 17:27:31,-21.3585,55.7679,292.92,76,39,3.87,scattered clouds,0.0,0
89,Zhigansk,RU,2021-08-25 17:27:32,66.7697,123.3711,284.92,89,100,6.03,moderate rain,1.21,0
90,Trinidad,BO,2021-08-25 17:23:41,-14.8333,-64.9,304.14,62,75,2.57,smoke,0.0,0
91,Sibolga,ID,2021-08-25 17:27:32,1.7427,98.7792,297.89,88,59,1.5,broken clouds,0.0,0
92,Vostok,RU,2021-08-25 17:27:33,46.4856,135.8833,288.64,82,95,1.45,overcast clouds,0.0,0
93,Saint-Pierre,RE,2021-08-25 17:24:03,-21.3393,55.4781,292.97,68,0,3.09,clear sky,0.0,0
94,Half Moon Bay,US,2021-08-25 17:22:37,37.4636,-122.4286,293.74,79,90,0.0,overcast clouds,0.0,0
95,Yellowknife,CA,2021-08-25 17:25:29,62.456,-114.3525,289.44,77,20,7.2,few clouds,0.0,0
96,Hilo,US,2021-08-25 17:27:34,19.7297,-155.09,297.48,82,75,3.09,broken clouds,0.0,0
97,Raga,SS,2021-08-25 17:27:34,8.4596,25.678,294.49,96,83,1.93,moderate rain,1.2,0
98,Leningradskiy,RU,2021-08-25 17:27:34,69.3833,178.4167,276.93,93,100,3.04,light rain,0.42,0
99,Jumla,NP,2021-08-25 17:27:35,29.2747,82.1838,291.53,93,97,0.5,overcast clouds,0.0,0
100,Bredasdorp,ZA,2021-08-25 17:27:35,-34.5322,20.0403,285.77,82,0,2.06,clear sky,0.0,0
101,Port Elizabeth,ZA,2021-08-25 17:24:44,-33.918,25.5701,290.98,77,0,5.66,clear sky,0.0,0
102,Yerbogachen,RU,2021-08-25 17:27:36,61.2767,108.0108,288.36,72,100,4.44,overcast clouds,0.0,0
103,Pangnirtung,CA,2021-08-25 17:27:37,66.1451,-65.7125,279.15,93,90,4.12,light rain,0.11,0
104,Inirida,CO,2021-08-25 17:27:37,3.8653,-67.9239,304.98,58,95,0.62,overcast clouds,0.0,0
105,Amparafaravola,MG,2021-08-25 17:27:37,-17.5833,48.2167,288.61,94,5,1.79,clear sky,0.0,0
106,Tsabong,BW,2021-08-25 17:27:38,-26.0217,22.401,295.14,44,51,5.82,broken clouds,0.0,0
107,Avarua,CK,2021-08-25 17:27:38,-21.2078,-159.775,293.18,88,90,3.6,light rain,0.13,0
108,Mackay,AU,2021-08-25 17:26:15,-21.15,149.2,284.84,87,0,2.06,clear sky,0.0,0
109,Broome,US,2021-08-25 17:27:39,42.2506,-75.833,304.85,61,1,0.89,clear sky,0.0,0
110,Brawley,US,2021-08-25 17:24:02,32.9787,-115.5303,313.25,14,1,1.54,clear sky,0.0,0
111,Souillac,MU,2021-08-25 17:27:39,-20.5167,57.5167,294.36,68,40,1.54,light rain,0.13,0
112,Saldanha,ZA,2021-08-25 17:27:40,-33.0117,17.9442,287.18,86,0,3.2,clear sky,0.0,0
