City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Kavieng,PG,83.41,broken clouds,-2.5744,150.7967,Nusa Island Retreat
4,Port Alfred,ZA,62.89,clear sky,-33.5906,26.891,The Halyards Hotel
6,Puerto Escondido,MX,81.25,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
9,Butaritari,KI,81.64,light rain,3.0707,172.7902,Isles Sunset Lodge
10,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
11,Rikitea,PF,71.85,few clouds,-23.1203,-134.9692,People ThankYou
12,Hwange,ZW,67.93,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
14,Tam Ky,VN,78.78,overcast clouds,15.5667,108.4833,Khách Sạn Đông Á
16,Krasnoselkup,RU,61.18,overcast clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
18,Atuona,PF,77.58,clear sky,-9.8,-139.0333,Villa Enata
20,Buala,SB,82.6,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
21,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
22,Trstenik,RS,63.01,few clouds,43.6169,21.0025,Hotel Konaciste Goc Trstenik
23,Plouzane,FR,59.09,broken clouds,48.3833,-4.6167,Carrefour Voyages Plouzané
24,Hilo,US,80.33,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
29,Hami,CN,76.05,overcast clouds,42.8,93.45,Laoyutang Resort
30,Kapaa,US,84.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
31,Kalianget,ID,76.93,clear sky,-7.05,113.9333,Pesanggrahan Garam
32,Hervey Bay,AU,57.31,clear sky,-25.2986,152.8535,Shelly Bay Resort
33,Prince Rupert,CA,60.89,light rain,54.3161,-130.3201,Crest Hotel
34,Lompoc,US,90.57,haze,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
38,Dagana,MR,87.78,few clouds,16.5165,-15.5068,Quartier Dille koumba fatim thiam
39,Cidreira,BR,57.16,overcast clouds,-30.1811,-50.2056,Hotel Castelo
40,Olga,RU,68.36,light rain,43.7444,135.2892,Gostinitsa Rosmorport.
42,Tuktoyaktuk,CA,66.2,broken clouds,69.4541,-133.0374,End of The Road Ltd.
43,Labuhan,ID,73.47,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
44,Impfondo,CG,75.69,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
45,Grimshaw,CA,74.82,broken clouds,56.1834,-117.6027,Pomeroy Inn & Suites Grimshaw
46,East London,ZA,68.95,clear sky,-33.0153,27.9116,Tu Casa
47,Marawi,PH,64.65,overcast clouds,7.9986,124.2928,Derogongan Residence
48,Yellowknife,CA,70.32,few clouds,62.456,-114.3525,The Explorer Hotel
50,Avarua,CK,68.05,light rain,-21.2078,-159.775,Paradise Inn
51,Bogotol,RU,56.82,clear sky,56.2078,89.5342,Апартаменты «SOVA»
52,Almaznyy,RU,71.74,light rain,48.0448,40.045,
53,Vao,NC,71.11,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
54,Albany,US,90.27,scattered clouds,42.6001,-73.9662,
55,Ayan,RU,60.44,broken clouds,56.45,138.1667,Gostinitsa
