City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yar-Sale,RU,2021-08-26 22:23:53,66.8333,70.8333,40.55,93,100,27.92,light rain
1,Punta Arenas,CL,2021-08-26 22:22:04,-53.15,-70.9167,39.31,75,20,2.3,few clouds
2,Bluff,NZ,2021-08-26 22:23:54,-46.6,168.3333,43.81,74,97,11.32,overcast clouds
3,Kavieng,PG,2021-08-26 22:23:55,-2.5744,150.7967,83.41,72,74,10.71,broken clouds
4,Port Alfred,ZA,2021-08-26 22:23:55,-33.5906,26.891,62.89,91,10,13.78,clear sky
5,Collie,AU,2021-08-26 22:23:55,-33.3667,116.15,43.99,86,29,3.6,scattered clouds
6,Puerto Escondido,MX,2021-08-26 22:23:56,15.85,-97.0667,81.25,79,100,24.4,overcast clouds
7,Vardo,NO,2021-08-26 22:23:56,70.3705,31.1107,50.59,79,99,13.78,overcast clouds
8,Mataura,NZ,2021-08-26 22:23:57,-46.1927,168.8643,43.48,97,100,2.62,overcast clouds
9,Butaritari,KI,2021-08-26 22:23:57,3.0707,172.7902,81.64,76,99,14.14,light rain
10,Puerto Ayora,EC,2021-08-26 22:23:57,-0.7393,-90.3518,75.16,81,76,8.99,broken clouds
11,Rikitea,PF,2021-08-26 22:23:58,-23.1203,-134.9692,71.85,73,11,10.6,few clouds
12,Hwange,ZW,2021-08-26 22:23:58,-18.3693,26.5019,67.93,35,0,3.02,clear sky
13,Hobart,AU,2021-08-26 22:23:59,-42.8794,147.3294,46.26,88,75,4.61,broken clouds
14,Tam Ky,VN,2021-08-26 22:19:07,15.5667,108.4833,78.78,95,100,6.78,overcast clouds
15,Hermanus,ZA,2021-08-26 22:23:59,-34.4187,19.2345,46.9,85,100,12.26,moderate rain
16,Krasnoselkup,RU,2021-08-26 22:24:00,65.7,82.4667,61.18,93,99,16.02,overcast clouds
17,Saint George,US,2021-08-26 22:20:18,37.1041,-113.5841,104.63,13,1,1.99,clear sky
18,Atuona,PF,2021-08-26 22:24:00,-9.8,-139.0333,77.58,76,1,18.05,clear sky
19,Aasiaat,GL,2021-08-26 22:24:01,68.7098,-52.8699,37.72,96,100,3.76,overcast clouds
20,Buala,SB,2021-08-26 22:24:01,-8.145,159.5921,82.6,75,73,10.56,broken clouds
21,Bathsheba,BB,2021-08-26 22:24:02,13.2167,-59.5167,83.01,78,40,13.8,scattered clouds
22,Trstenik,RS,2021-08-26 22:24:02,43.6169,21.0025,63.01,88,17,1.7,few clouds
23,Plouzane,FR,2021-08-26 22:24:02,48.3833,-4.6167,59.09,94,75,6.91,broken clouds
24,Hilo,US,2021-08-26 22:24:03,19.7297,-155.09,80.33,69,75,6.91,broken clouds
