Max Temp,Humidity,Cloudiness,Wind Speed
71.22,90,95,22.97
35.96,96,100,22.3
44.11,97,75,3.0
88.47,48,37,4.25
69.96,78,40,8.05
50.25,85,100,4.43
43.75,90,89,2.17
83.01,78,40,18.41
75.81,91,41,5.32
73.81,86,91,5.99
49.08,81,100,9.93
72.43,83,99,14.5
74.03,70,31,2.89
53.89,61,97,20.02
59.86,43,0,7.14
62.13,55,0,7.49
84.74,11,1,10.0
46.8,86,100,8.19
60.71,51,100,3.62
81.84,90,20,1.01
37.42,87,90,23.02
70.39,86,86,14.83
82.42,73,35,15.14
75.0,80,31,11.01
86.09,43,95,5.53
93.76,10,38,5.68
52.09,58,75,19.57
42.64,72,77,10.02
82.45,79,100,14.09
78.73,90,20,1.14
65.75,94,90,12.66
38.86,68,100,15.21
87.98,77,57,3.0
46.17,75,6,6.44
82.51,72,17,11.36
37.36,85,28,20.02
84.15,68,46,5.97
82.83,64,100,8.1
39.2,87,100,7.36
75.79,90,39,4.5
57.45,58,0,20.71
54.7,98,100,7.83
57.38,86,86,4.72
78.4,77,4,17.34
41.25,90,100,1.45
81.19,78,97,8.12
57.11,92,100,6.78
76.75,89,9,7.63
43.34,80,32,4.97
34.34,87,100,14.43
53.87,99,100,13.53
80.58,83,28,13.31
39.31,87,90,16.11
51.87,53,0,12.66
39.15,99,100,6.06
70.21,89,97,10.0
41.02,87,75,6.91
43.9,81,86,14.65
63.95,14,27,20.71
50.92,91,100,11.45
53.71,64,87,7.9
49.26,69,99,2.26
82.69,75,52,9.86
46.47,82,100,2.3
72.97,77,7,16.33
63.64,43,5,2.73
86.85,51,93,2.57
69.39,92,100,21.63
64.2,46,95,11.99
71.42,86,10,7.23
73.45,53,75,8.05
71.26,90,94,23.71
63.79,89,88,5.57
78.39,83,24,7.34
80.67,76,21,6.49
54.68,72,100,4.74
90.55,18,27,4.18
81.37,74,67,11.59
33.22,73,6,5.66
38.86,56,75,18.41
38.25,87,98,1.19
86.02,54,40,14.97
39.25,87,90,24.16
78.08,61,86,4.41
44.56,89,81,1.81
73.27,98,100,4.59
44.04,76,14,5.75
77.45,63,89,1.57
47.3,91,100,7.31
80.71,83,49,1.57
79.92,81,17,9.48
80.71,68,100,13.73
83.07,73,49,11.43
92.97,64,40,5.75
81.43,76,96,6.46
48.43,77,2,6.46
58.98,56,99,6.67
40.01,75,80,5.23
68.61,43,2,0.96
56.64,58,90,0.0
89.42,75,20,3.0
73.76,77,4,18.32
46.81,88,100,3.0
62.87,99,98,4.56
65.64,94,89,2.24
84.63,68,0,8.81
82.04,28,1,5.01
46.89,86,83,17.94
42.19,82,6,13.89
97.02,64,1,14.97
85.28,79,90,5.75
42.28,72,66,11.79
47.8,61,39,4.38
84.16,45,99,7.54
58.24,95,100,10.54
72.54,40,40,3.44
75.02,94,90,16.11
45.36,97,100,14.79
72.25,78,68,0.94
56.79,52,0,9.31
75.43,78,75,10.36
79.57,81,100,20.42
89.56,73,75,6.91
75.16,84,81,5.99
48.7,92,100,22.08
60.69,83,99,7.29
53.53,80,100,12.53
74.17,80,65,11.79
51.8,88,100,31.05
39.7,93,100,4.36
69.26,88,0,5.44
80.69,82,98,11.86
70.77,43,76,8.08
82.49,78,40,18.41
62.11,55,40,16.11
79.84,83,99,4.99
61.66,91,12,1.86
80.58,71,100,2.98
91.02,20,43,2.71
77.18,57,45,4.63
87.22,70,90,9.22
70.56,78,20,5.75
85.26,36,6,18.68
87.67,59,100,4.7
73.42,84,93,7.63
86.92,29,86,3.89
91.99,32,53,4.45
65.1,97,9,3.4
75.49,89,90,1.01
46.35,82,100,6.55
79.14,94,40,4.61
75.97,67,62,12.71
54.05,48,100,15.48
60.19,60,3,1.99
48.36,98,100,5.06
56.03,89,62,4.29
80.06,9,0,6.4
82.89,86,1,1.01
95.97,53,40,9.22
78.42,72,52,20.71
90.39,77,1,3.0
39.27,82,23,5.84
89.65,66,1,17.27
41.59,70,100,9.51
49.86,50,75,12.66
54.18,99,100,12.97
73.44,96,100,13.51
87.71,30,0,9.22
65.08,76,86,12.44
104.23,29,1,9.22
83.57,79,97,1.28
79.38,27,10,2.57
70.63,30,21,6.29
73.9,97,96,5.01
48.88,73,0,11.79
67.35,59,98,9.01
78.22,75,15,9.51
76.59,79,93,10.42
75.2,29,29,7.87
54.93,83,3,8.1
51.84,56,100,21.9
66.72,72,2,3.91
74.64,88,75,8.05
85.98,65,40,3.0
52.59,97,29,1.01
60.73,74,0,9.22
47.73,93,100,11.59
80.71,70,100,8.72
61.57,86,39,6.8
75.42,33,100,1.99
49.15,61,1,16.11
79.09,84,100,10.22
81.37,37,0,9.1
45.81,90,100,8.1
59.67,72,100,11.9
44.58,88,100,5.23
60.85,94,90,9.22
93.04,57,20,10.36
95.59,41,0,5.26
57.7,96,54,2.59
36.01,98,100,9.33
56.23,73,56,7.23
91.06,62,100,10.98
98.51,64,40,1.99
38.61,83,88,8.95
68.43,47,100,9.15
88.57,20,15,0.81
81.43,76,85,11.36
71.85,43,69,2.39
74.17,22,100,12.77
53.8,78,82,21.94
85.48,93,100,4.61
82.9,73,68,7.2
70.5,45,38,6.2
43.68,78,96,13.35
81.88,72,97,2.89
43.11,90,95,16.55
79.36,83,0,5.75
85.35,76,58,12.55
73.29,78,0,3.44
78.3,89,68,14.74
74.71,85,73,8.9
73.36,83,100,11.99
61.72,89,20,5.41
87.12,54,88,5.06
71.17,89,73,8.19
77.7,75,100,6.76
75.15,78,20,13.8
35.22,92,8,9.53
51.93,60,2,8.48
71.28,64,96,0.92
45.63,80,57,20.27
45.64,74,100,7.05
74.61,88,98,2.93
43.21,93,3,6.91
88.68,50,79,1.68
38.62,97,100,3.4
79.2,85,68,0.94
74.07,75,50,11.77
50.45,84,100,13.06
58.89,77,90,6.91
84.42,76,100,1.01
88.12,47,1,9.22
74.73,96,99,2.95
48.22,74,8,2.8
44.19,78,32,8.08
88.16,74,1,3.44
48.04,80,100,22.84
55.13,82,75,6.91
60.98,59,0,5.75
54.43,61,100,21.7
81.09,37,55,6.87
60.58,90,100,1.92
61.45,73,20,10.27
86.99,43,47,5.79
87.8,70,20,9.22
42.8,93,90,10.36
66.92,36,0,4.7
73.63,81,5,9.35
78.17,82,34,0.16
88.83,44,91,13.15
104.58,73,1,8.99
53.46,95,100,6.17
37.27,82,100,5.75
66.34,53,99,4.0
68.67,63,68,6.31
79.39,60,13,15.28
45.93,85,100,4.7
75.88,70,20,3.0
64.96,81,0,8.5
71.38,83,84,14.0
89.08,43,7,13.78
67.51,39,72,8.75
86.05,92,100,6.44
68.0,81,60,10.98
78.22,85,99,10.29
86.58,15,0,7.23
59.9,69,53,16.82
39.04,81,20,10.36
83.35,17,20,7.0
72.07,82,2,6.22
54.19,100,75,4.47
70.59,91,0,9.33
48.47,72,0,0.78
38.43,77,100,10.8
50.83,80,76,1.23
76.15,82,81,29.21
38.86,72,72,4.29
76.46,88,76,4.03
57.78,95,10,4.79
49.59,72,89,16.71
60.28,48,11,1.99
80.67,47,20,6.91
34.77,96,99,3.8
81.88,58,0,3.6
57.25,88,2,6.91
89.42,68,1,5.01
46.36,10,0,25.34
69.8,83,75,8.05
78.91,79,1,3.76
64.83,87,5,4.63
63.91,97,12,2.37
91.98,61,62,2.44
98.6,29,72,11.72
99.18,47,40,5.01
45.84,82,100,10.54
81.23,82,47,14.83
47.1,93,90,1.01
76.96,29,37,5.17
61.5,95,100,7.49
70.52,84,95,15.61
82.09,72,0,1.99
75.7,86,54,9.06
46.27,92,7,4.45
58.89,38,0,0.0
81.99,85,90,3.0
84.51,48,93,14.29
78.46,89,20,6.91
73.94,86,100,8.01
93.81,53,41,9.98
67.64,61,0,12.73
61.18,86,84,11.01
55.11,56,1,1.99
74.32,77,76,1.14
67.37,41,0,3.04
75.79,87,72,2.53
39.61,85,11,4.41
86.58,53,100,16.08
53.53,98,100,12.06
53.73,72,56,21.52
56.89,74,16,4.63
84.51,52,80,2.62
63.5,60,20,3.83
66.83,57,93,6.22
48.43,51,86,13.24
78.8,79,89,9.4
78.6,80,20,1.01
93.34,28,1,12.66
86.32,69,40,9.22
65.66,96,100,2.75
76.01,28,2,10.98
94.35,27,1,17.27
49.23,88,98,6.96
81.03,90,54,3.0
87.78,55,20,3.44
51.1,74,0,11.18
57.92,94,90,4.61
107.51,50,22,6.85
60.49,86,100,6.69
82.81,77,94,11.54
37.49,96,100,9.53
65.01,79,58,3.29
44.89,69,76,12.33
52.12,90,90,0.0
73.71,98,91,2.68
67.41,50,100,3.06
67.42,87,58,3.83
64.74,88,0,4.29
74.39,74,33,10.94
51.78,77,65,6.04
110.95,45,1,5.99
79.29,89,100,16.75
76.69,85,100,1.54
43.41,87,90,5.75
71.37,92,92,22.84
51.87,91,100,9.48
54.82,75,100,14.34
66.45,97,93,1.1
40.23,84,78,11.99
77.9,73,25,16.67
62.2,99,100,2.51
75.0,96,100,8.72
65.59,25,0,14.88
48.15,81,75,2.44
70.16,37,0,13.69
80.69,79,89,5.44
63.34,51,94,10.09
86.63,56,82,0.87
87.24,25,29,3.13
77.07,94,79,3.89
55.2,73,100,4.0
76.33,50,1,8.01
76.93,75,0,6.44
59.95,86,60,7.92
77.25,73,0,4.61
79.9,67,0,9.62
83.59,73,98,7.52
78.42,80,74,8.66
56.89,93,100,1.03
77.11,88,20,1.14
80.1,82,100,5.19
84.22,70,40,9.22
82.83,12,1,18.41
46.51,81,58,6.13
91.0,60,40,6.91
78.51,77,63,6.44
90.57,26,40,8.01
78.96,41,34,3.18
67.26,17,62,16.8
54.64,82,0,5.73
70.52,95,43,3.53
74.84,32,62,8.79
37.29,97,100,16.13
75.81,87,93,2.93
70.48,40,88,9.46
90.86,30,33,9.26
75.88,50,40,8.05
57.27,91,100,12.03
53.82,87,99,28.41
57.99,48,23,1.01
39.27,100,28,0.0
66.16,95,100,2.33
79.93,81,100,2.95
74.17,97,90,2.48
50.56,74,90,10.8
44.6,92,1,3.49
41.68,38,93,11.05
56.37,87,100,3.91
69.39,98,81,3.0
76.89,23,1,16.11
59.68,49,0,4.29
79.12,87,100,3.2
77.65,28,91,7.43
59.95,94,90,11.5
86.49,49,66,2.75
57.76,78,0,4.38
69.35,21,0,5.3
63.25,94,100,0.85
63.36,34,94,4.43
75.16,94,75,3.44
55.83,91,100,5.93
74.44,99,100,2.42
74.89,78,14,3.27
49.12,100,90,5.75
49.1,65,96,13.58
70.59,43,100,8.79
59.05,85,43,6.35
62.17,93,95,8.88
75.31,71,0,11.7
81.82,81,81,11.16
82.76,77,33,9.66
65.16,67,0,11.5
80.62,83,20,4.61
68.63,81,87,7.54
48.15,78,31,9.22
51.69,68,60,11.05
77.85,84,70,6.82
75.81,73,50,6.91
60.78,95,100,14.63
77.56,48,3,3.0
55.71,61,75,1.01
68.5,83,61,3.2
78.75,88,19,10.36
67.41,94,100,2.44
63.79,77,43,8.08
60.31,74,13,4.0
50.07,87,40,4.61
40.5,87,18,5.77
89.78,26,12,6.15
85.86,71,17,11.7
79.59,82,12,9.42
60.89,96,100,2.28
62.83,88,100,25.05
52.27,93,90,19.57
49.19,76,14,4.29
83.08,79,0,5.99
68.18,92,23,2.19
50.68,82,100,6.62
58.26,98,100,7.38
55.45,92,100,5.97
58.57,79,100,8.75
82.35,32,1,4.0
69.98,69,0,6.8
66.87,49,100,14.0
95.23,22,38,3.65
70.83,35,86,16.17
69.48,93,75,25.32
88.45,90,75,4.61
68.95,18,16,3.87
73.62,92,92,6.04
88.77,10,1,12.66
70.56,62,100,23.04
81.99,83,100,5.01
77.74,83,84,2.06
75.92,89,100,3.18
87.3,24,0,13.18
104.18,25,20,3.0
47.89,88,27,1.72
94.24,67,19,4.0
76.89,75,100,1.14
95.97,55,1,3.0
94.35,31,10,1.01
62.51,65,9,5.79
61.36,84,59,1.41
76.3,89,100,4.68
78.49,64,14,10.8
61.52,95,100,5.79
89.76,58,4,8.63
64.92,37,100,8.43
58.19,81,99,12.17
92.98,34,0,4.94
51.04,37,10,14.03
58.68,89,58,2.62
75.36,65,15,0.56
85.69,66,90,6.22
55.06,61,17,0.65
73.18,84,99,8.99
89.51,12,1,15.01
47.34,83,100,15.01
87.57,23,0,7.54
51.6,32,97,9.4
66.04,34,5,6.69
70.97,56,93,19.77
85.19,82,75,3.44
44.96,48,0,6.38
57.02,95,70,5.61
55.27,80,3,3.71
95.04,43,40,1.01
83.32,22,72,3.42
47.3,83,42,1.68
92.44,26,76,4.65
89.58,66,75,12.66
67.71,71,74,17.76
60.48,80,94,1.81
68.79,52,91,3.22
82.38,20,1,4.61
69.91,30,0,1.68
76.98,66,0,1.3
65.64,98,100,3.29
58.66,78,3,5.12
73.89,85,52,2.59
82.6,79,24,18.48
76.73,69,75,8.05
75.11,79,34,11.72
77.11,86,5,26.51
65.71,27,0,6.53
52.63,89,79,1.23
77.18,75,0,3.51
82.27,78,100,5.59
78.19,90,98,5.57
89.31,55,20,12.66
53.96,42,76,8.05
63.66,33,69,5.01
73.49,25,92,0.96
77.41,97,32,1.66
75.69,86,100,1.48
54.09,65,0,22.57
70.29,36,0,15.59
60.46,77,2,4.94
57.88,66,72,7.09
94.66,34,38,9.78
54.27,74,52,2.24
73.11,31,46,9.17
70.66,76,2,18.77
64.09,57,100,9.04
59.31,79,3,4.88
53.11,83,100,21.41
79.97,74,0,3.22
69.35,70,50,10.13
80.44,79,98,11.63
78.22,86,100,3.36
70.32,40,83,4.12
71.42,76,54,2.13
81.54,78,6,1.41
91.11,44,91,15.1
57.74,93,87,8.25
60.22,88,2,9.22
50.74,85,67,14.94
66.61,75,79,11.79
53.29,90,86,7.54
62.08,93,33,8.81
65.53,93,100,2.55
60.12,78,100,10.33
62.58,86,90,9.22
72.63,21,0,5.48
57.2,97,81,2.04
72.88,100,100,1.32
